sub_num,session,trial_order,trial_number,frame_count_start,frame_count_end,filename
CAT_209,2,order2A-locationflip,13,1686,1757,CAT_209_session2
CAT_209,2,order2A-locationflip,14,1800,1870,CAT_209_session2
CAT_209,2,order2A-locationflip,16,2028,2099,CAT_209_session2
CAT_209,2,order2A-locationflip,17,2141,2212,CAT_209_session2
CAT_209,2,order2A-locationflip,18,2255,2326,CAT_209_session2
CAT_209,2,order2A-locationflip,19,2369,2439,CAT_209_session2
CAT_209,2,order2A-locationflip,21,2594,2664,CAT_209_session2
CAT_209,2,order2A-locationflip,22,2707,2777,CAT_209_session2
CAT_209,2,order2A-locationflip,23,2821,2891,CAT_209_session2
CAT_209,2,order2A-locationflip,24,2933,3003,CAT_209_session2
CAT_209,2,order2A-locationflip,26,3163,3233,CAT_209_session2
CAT_209,2,order2A-locationflip,27,3276,3346,CAT_209_session2
CAT_209,2,order2A-locationflip,28,3390,3461,CAT_209_session2
CAT_209,2,order2A-locationflip,29,3503,3574,CAT_209_session2
CAT_210,1,order1A-locationflip,1,363,480,CAT_210_session1
CAT_210,1,order1A-locationflip,2,504,628,CAT_210_session1
CAT_210,1,order1A-locationflip,3,652,762,CAT_210_session1
CAT_210,1,order1A-locationflip,6,1045,1169,CAT_210_session1
CAT_210,1,order1A-locationflip,8,1305,1386,CAT_210_session1
CAT_210,1,order1A-locationflip,11,1613,1694,CAT_210_session1
CAT_210,1,order1A-locationflip,13,1816,1890,CAT_210_session1
CAT_210,1,order1A-locationflip,14,1913,1987,CAT_210_session1
CAT_210,1,order1A-locationflip,16,2108,2179,CAT_210_session1
CAT_210,1,order1A-locationflip,22,2730,2811,CAT_210_session1
CAT_210,1,order1A-locationflip,26,3237,3353,CAT_210_session1
CAT_210,1,order1A-locationflip,27,3377,3487,CAT_210_session1
CAT_210,2,order1B-locationflip,1,313,378,CAT_210_session2
CAT_210,2,order1B-locationflip,4,595,667,CAT_210_session2
CAT_210,2,order1B-locationflip,6,790,859,CAT_210_session2
CAT_210,2,order1B-locationflip,9,1055,1117,CAT_210_session2
CAT_210,2,order1B-locationflip,11,1241,1319,CAT_210_session2
CAT_210,2,order1B-locationflip,14,1537,1601,CAT_210_session2
CAT_210,2,order1B-locationflip,16,1708,1773,CAT_210_session2
CAT_210,2,order1B-locationflip,21,2139,2201,CAT_210_session2
CAT_210,2,order1B-locationflip,23,2310,2372,CAT_210_session2
CAT_210,2,order1B-locationflip,24,2396,2462,CAT_210_session2
CAT_210,2,order1B-locationflip,26,2576,2636,CAT_210_session2
CAT_211,1,order2B-locationflip,1,619,760,CAT_211_session1
CAT_211,1,order2B-locationflip,2,839,980,CAT_211_session1
CAT_211,1,order2B-locationflip,3,1059,1200,CAT_211_session1
CAT_211,1,order2B-locationflip,4,1278,1420,CAT_211_session1
CAT_211,1,order2B-locationflip,6,1715,1856,CAT_211_session1
CAT_211,1,order2B-locationflip,7,1934,2075,CAT_211_session1
CAT_211,1,order2B-locationflip,8,2153,2294,CAT_211_session1
CAT_211,1,order2B-locationflip,9,2371,2512,CAT_211_session1
CAT_211,1,order2B-locationflip,11,2809,2950,CAT_211_session1
CAT_211,1,order2B-locationflip,12,3027,3168,CAT_211_session1
CAT_211,1,order2B-locationflip,13,3246,3387,CAT_211_session1
CAT_211,1,order2B-locationflip,14,3465,3606,CAT_211_session1
CAT_211,1,order2B-locationflip,16,3903,4044,CAT_211_session1
CAT_211,1,order2B-locationflip,17,4124,4264,CAT_211_session1
CAT_211,1,order2B-locationflip,18,4342,4482,CAT_211_session1
CAT_211,1,order2B-locationflip,19,4561,4702,CAT_211_session1
CAT_211,1,order2B-locationflip,21,4998,5138,CAT_211_session1
CAT_211,1,order2B-locationflip,22,5217,5357,CAT_211_session1
CAT_211,1,order2B-locationflip,23,5435,5576,CAT_211_session1
CAT_211,1,order2B-locationflip,26,6091,6232,CAT_211_session1
CAT_211,1,order2B-locationflip,27,6310,6451,CAT_211_session1
CAT_211,1,order2B-locationflip,28,6528,6669,CAT_211_session1
CAT_211,1,order2B-locationflip,29,6747,6888,CAT_211_session1
CAT_211,2,order2A-locationflip,1,867,1009,CAT_211_session2
CAT_211,2,order2A-locationflip,2,1087,1229,CAT_211_session2
CAT_211,2,order2A-locationflip,3,1307,1449,CAT_211_session2
CAT_211,2,order2A-locationflip,4,1527,1669,CAT_211_session2
CAT_211,2,order2A-locationflip,6,1968,2110,CAT_211_session2
CAT_211,2,order2A-locationflip,7,2188,2329,CAT_211_session2
CAT_211,2,order2A-locationflip,8,2407,2549,CAT_211_session2
CAT_211,2,order2A-locationflip,11,3067,3209,CAT_211_session2
CAT_211,2,order2A-locationflip,12,3287,3429,CAT_211_session2
CAT_211,2,order2A-locationflip,13,3507,3649,CAT_211_session2
CAT_211,2,order2A-locationflip,14,3727,3869,CAT_211_session2
CAT_211,2,order2A-locationflip,17,4388,4530,CAT_211_session2
CAT_211,2,order2A-locationflip,18,4608,4750,CAT_211_session2
CAT_211,2,order2A-locationflip,19,4828,4969,CAT_211_session2
CAT_211,2,order2A-locationflip,21,5267,5409,CAT_211_session2
CAT_211,2,order2A-locationflip,23,5707,5848,CAT_211_session2
CAT_211,2,order2A-locationflip,24,5926,6068,CAT_211_session2
CAT_211,2,order2A-locationflip,26,6367,6508,CAT_211_session2
CAT_211,2,order2A-locationflip,27,6586,6728,CAT_211_session2
CAT_211,2,order2A-locationflip,28,6806,6948,CAT_211_session2
CAT_211,2,order2A-locationflip,29,7026,7168,CAT_211_session2
