Trial,Framerate,Framecount,file,response_uuid,trial_number
22,30.1139,222,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,12
23,30,222,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,13
24,29.8045,221,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,14
26,30.7068,53,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,16
27,30.1351,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,17
28,30.109,221,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,18
29,30.1172,221,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,19
31,29.9401,220,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,21
32,30.0985,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,22
33,29.9514,222,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,23
34,30.1229,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,24
36,30.1311,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,26
37,30.1107,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,27
38,30.5132,66,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,28
39,30.1164,220,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,29
11,16.6304,130,framerate_table_0a0556d2-cfaa-43be-b921-245cabe51223,0a0556d2-cfaa-43be-b921-245cabe51223,1
12,16.0612,126,framerate_table_0a0556d2-cfaa-43be-b921-245cabe51223,0a0556d2-cfaa-43be-b921-245cabe51223,2
13,16.094,126,framerate_table_0a0556d2-cfaa-43be-b921-245cabe51223,0a0556d2-cfaa-43be-b921-245cabe51223,3
14,16.2581,126,framerate_table_0a0556d2-cfaa-43be-b921-245cabe51223,0a0556d2-cfaa-43be-b921-245cabe51223,4
16,16.8712,132,framerate_table_0a0556d2-cfaa-43be-b921-245cabe51223,0a0556d2-cfaa-43be-b921-245cabe51223,6
17,17.0653,132,framerate_table_0a0556d2-cfaa-43be-b921-245cabe51223,0a0556d2-cfaa-43be-b921-245cabe51223,7
18,19.8547,153,framerate_table_0a0556d2-cfaa-43be-b921-245cabe51223,0a0556d2-cfaa-43be-b921-245cabe51223,8
